骰子組合,基礎點數總和,發動牌型,發動牌型總和倍率,最終傷害
13366668,39,四同(x5) + 三對子(x3),15,585
13366677,39,三同(x3) + 三對子(x3),9,351
13366678,40,三同(x3) + 三連順(x2) + 南瓜(x2),12,480
13366688,41,三同(x3) + 三對子(x3),9,369
13366777,40,三同(x3) + 三對子(x3),9,360
13366778,41,對子(x2) + 三連順(x2) + 三對子(x3),12,492
13366788,42,對子(x2) + 三連順(x2) + 三對子(x3),12,504
13366888,43,三同(x3) + 三對子(x3),9,387
13367777,41,四同(x5) + 三對子(x3),15,615
13367778,42,三同(x3) + 三連順(x2) + 南瓜(x2),12,504
13367788,43,對子(x2) + 三連順(x2) + 三對子(x3),12,516
13367888,44,三同(x3) + 三連順(x2) + 南瓜(x2),12,528
13368888,45,四同(x5) + 三對子(x3),15,675
13377777,42,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,18144
13377778,43,四同(x5) + 三對子(x3),15,645
13377788,44,三同(x3) + 三對子(x3),9,396
13377888,45,三同(x3) + 三對子(x3),9,405
13378888,46,四同(x5) + 三對子(x3),15,690
13388888,47,五同(x12) + 三對子(x3),36,1692
13444444,28,六同(x25) + 雙三同(x11),275,7700
13444445,29,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,2088
13444446,30,五同(x12) + 南瓜(x2),24,720
13444447,31,五同(x12) + 南瓜(x2),24,744
13444448,32,五同(x12) + 南瓜(x2),24,768
13444455,30,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,900
13444456,31,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1395
13444457,32,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,960
13444458,33,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,990
13444466,32,四同(x5) + 三對子(x3),15,480
13444467,33,四同(x5) + 雙對子(x2),10,330
13444468,34,四同(x5) + 雙對子(x2),10,340
13444477,34,四同(x5) + 三對子(x3),15,510
13444478,35,四同(x5) + 雙對子(x2),10,350
13444488,36,四同(x5) + 三對子(x3),15,540
13444555,31,三同(x3) + 三連順(x2) + 雙三同(x11),66,2046
13444556,32,三同(x3) + 四連順(x3) + 雙三連順(x6),54,1728
13444557,33,三同(x3) + 三連順(x2) + 南瓜(x2),12,396
13444558,34,三同(x3) + 三連順(x2) + 南瓜(x2),12,408
13444566,33,三同(x3) + 四連順(x3) + 南瓜(x2),18,594
13444567,34,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,1224
13444568,35,三同(x3) + 四連順(x3),9,315
13444577,35,三同(x3) + 三連順(x2) + 南瓜(x2),12,420
13444578,36,三同(x3) + 三連順(x2),6,216
13444588,37,三同(x3) + 三連順(x2) + 南瓜(x2),12,444
13444666,34,三同(x3) + 雙三同(x11),33,1122
13444667,35,三同(x3) + 南瓜(x2),6,210
13444668,36,三同(x3) + 南瓜(x2),6,216
13444677,36,三同(x3) + 南瓜(x2),6,216
13444678,37,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,666
13444688,38,三同(x3) + 南瓜(x2),6,228
13444777,37,三同(x3) + 雙三同(x11),33,1221
13444778,38,三同(x3) + 南瓜(x2),6,228
13444788,39,三同(x3) + 南瓜(x2),6,234
13444888,40,三同(x3) + 雙三同(x11),33,1320
13445555,32,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,960
13445556,33,三同(x3) + 四連順(x3) + 雙三連順(x6),54,1782
13445557,34,三同(x3) + 三連順(x2) + 南瓜(x2),12,408
13445558,35,三同(x3) + 三連順(x2) + 南瓜(x2),12,420
13445566,34,對子(x2) + 四連順(x3) + 雙三連順(x6),36,1224
13445567,35,對子(x2) + 五連順(x4) + 雙三連順(x6),48,1680
13445568,36,對子(x2) + 四連順(x3) + 雙三連順(x6),36,1296
13445577,36,對子(x2) + 三連順(x2) + 三對子(x3),12,432
13445578,37,對子(x2) + 三連順(x2) + 雙對子(x2),8,296
13445588,38,對子(x2) + 三連順(x2) + 三對子(x3),12,456
13445666,35,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,945
13445667,36,對子(x2) + 五連順(x4) + 雙對子(x2),16,576
13445668,37,對子(x2) + 四連順(x3) + 雙對子(x2),12,444
13445677,37,對子(x2) + 五連順(x4) + 雙對子(x2),16,592
13445678,38,對子(x2) + 六連順(x7) + 雙三連順(x6),84,3192
13445688,39,對子(x2) + 四連順(x3) + 雙對子(x2),12,468
13445777,38,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,684
13445778,39,對子(x2) + 三連順(x2) + 雙對子(x2),8,312
13445788,40,對子(x2) + 三連順(x2) + 雙對子(x2),8,320
13445888,41,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,738
13446666,36,四同(x5) + 三對子(x3),15,540
13446667,37,三同(x3) + 南瓜(x2),6,222
13446668,38,三同(x3) + 南瓜(x2),6,228
13446677,38,對子(x2) + 三對子(x3),6,228
13446678,39,對子(x2) + 三連順(x2) + 雙對子(x2),8,312
13446688,40,對子(x2) + 三對子(x3),6,240
13446777,39,三同(x3) + 南瓜(x2),6,234
13446778,40,對子(x2) + 三連順(x2) + 雙對子(x2),8,320
13446788,41,對子(x2) + 三連順(x2) + 雙對子(x2),8,328
13446888,42,三同(x3) + 南瓜(x2),6,252
13447777,40,四同(x5) + 三對子(x3),15,600
13447778,41,三同(x3) + 南瓜(x2),6,246
13447788,42,對子(x2) + 三對子(x3),6,252
13447888,43,三同(x3) + 南瓜(x2),6,258
13448888,44,四同(x5) + 三對子(x3),15,660
13455555,33,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,2376
13455556,34,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1530
13455557,35,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1050
13455558,36,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1080
13455566,35,三同(x3) + 四連順(x3) + 南瓜(x2),18,630
13455567,36,三同(x3) + 五連順(x4) + 雙三連順(x6),72,2592
13455568,37,三同(x3) + 四連順(x3),9,333
13455577,37,三同(x3) + 三連順(x2) + 南瓜(x2),12,444
13455578,38,三同(x3) + 三連順(x2),6,228
13455588,39,三同(x3) + 三連順(x2) + 南瓜(x2),12,468
13455666,36,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,972
13455667,37,對子(x2) + 五連順(x4) + 雙三連順(x6),48,1776
13455668,38,對子(x2) + 四連順(x3) + 雙對子(x2),12,456
13455677,38,對子(x2) + 五連順(x4) + 雙三連順(x6),48,1824
13455678,39,對子(x2) + 六連順(x7) + 雙三連順(x6),84,3276
13455688,40,對子(x2) + 四連順(x3) + 雙對子(x2),12,480
13455777,39,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,702
13455778,40,對子(x2) + 三連順(x2) + 雙對子(x2),8,320
13455788,41,對子(x2) + 三連順(x2) + 雙對子(x2),8,328
13455888,42,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,756
13456666,37,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1665
13456667,38,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,1368
13456668,39,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1053
13456677,39,對子(x2) + 五連順(x4) + 雙對子(x2),16,624
13456678,40,對子(x2) + 六連順(x7) + 雙三連順(x6),84,3360
13456688,41,對子(x2) + 四連順(x3) + 雙對子(x2),12,492
13456777,40,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,1440
13456778,41,對子(x2) + 六連順(x7) + 雙三連順(x6),84,3444
13456788,42,對子(x2) + 六連順(x7) + 雙三連順(x6),84,3528
13456888,43,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1161
13457777,41,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1230
13457778,42,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,756
13457788,43,對子(x2) + 三連順(x2) + 雙對子(x2),8,344
13457888,44,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,792
13458888,45,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1350
13466666,38,五同(x12) + 南瓜(x2),24,912
13466667,39,四同(x5) + 雙對子(x2),10,390
13466668,40,四同(x5) + 雙對子(x2),10,400
13466677,40,三同(x3) + 南瓜(x2),6,240
13466678,41,三同(x3) + 三連順(x2),6,246
13466688,42,三同(x3) + 南瓜(x2),6,252
13466777,41,三同(x3) + 南瓜(x2),6,246
13466778,42,對子(x2) + 三連順(x2) + 雙對子(x2),8,336
13466788,43,對子(x2) + 三連順(x2) + 雙對子(x2),8,344
13466888,44,三同(x3) + 南瓜(x2),6,264
13467777,42,四同(x5) + 雙對子(x2),10,420
13467778,43,三同(x3) + 三連順(x2),6,258
13467788,44,對子(x2) + 三連順(x2) + 雙對子(x2),8,352
13467888,45,三同(x3) + 三連順(x2),6,270
13468888,46,四同(x5) + 雙對子(x2),10,460
13477777,43,五同(x12) + 南瓜(x2),24,1032
13477778,44,四同(x5) + 雙對子(x2),10,440
13477788,45,三同(x3) + 南瓜(x2),6,270
13477888,46,三同(x3) + 南瓜(x2),6,276
13478888,47,四同(x5) + 雙對子(x2),10,470
13488888,48,五同(x12) + 南瓜(x2),24,1152
13555555,34,六同(x25) + 雙三同(x11) + 絕對秩序(x12),3300,112200
13555556,35,五同(x12) + 南瓜(x2),24,840
13555557,36,五同(x12) + 南瓜(x2) + 絕對秩序(x12),288,10368
13555558,37,五同(x12) + 南瓜(x2),24,888
13555566,36,四同(x5) + 三對子(x3),15,540
13555567,37,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1110
13555568,38,四同(x5) + 雙對子(x2),10,380
13555577,38,四同(x5) + 三對子(x3) + 絕對秩序(x12),180,6840
13555578,39,四同(x5) + 雙對子(x2),10,390
13555588,40,四同(x5) + 三對子(x3),15,600
13555666,37,三同(x3) + 雙三同(x11),33,1221
13555667,38,三同(x3) + 三連順(x2) + 南瓜(x2),12,456
13555668,39,三同(x3) + 南瓜(x2),6,234
13555677,39,三同(x3) + 三連順(x2) + 南瓜(x2),12,468
13555678,40,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1080
13555688,41,三同(x3) + 南瓜(x2),6,246
13555777,40,三同(x3) + 雙三同(x11) + 絕對秩序(x12),396,15840
13555778,41,三同(x3) + 南瓜(x2),6,246
13555788,42,三同(x3) + 南瓜(x2),6,252
13555888,43,三同(x3) + 雙三同(x11),33,1419
13556666,38,四同(x5) + 三對子(x3),15,570
13556667,39,三同(x3) + 三連順(x2) + 南瓜(x2),12,468
13556668,40,三同(x3) + 南瓜(x2),6,240
13556677,40,對子(x2) + 三連順(x2) + 雙三連順(x6),24,960
13556678,41,對子(x2) + 四連順(x3) + 雙對子(x2),12,492
13556688,42,對子(x2) + 三對子(x3),6,252
13556777,41,三同(x3) + 三連順(x2) + 南瓜(x2),12,492
13556778,42,對子(x2) + 四連順(x3) + 雙對子(x2),12,504
13556788,43,對子(x2) + 四連順(x3) + 雙對子(x2),12,516
13556888,44,三同(x3) + 南瓜(x2),6,264
13557777,42,四同(x5) + 三對子(x3) + 絕對秩序(x12),180,7560
13557778,43,三同(x3) + 南瓜(x2),6,258
13557788,44,對子(x2) + 三對子(x3),6,264
13557888,45,三同(x3) + 南瓜(x2),6,270
13558888,46,四同(x5) + 三對子(x3),15,690
13566666,39,五同(x12) + 南瓜(x2),24,936
13566667,40,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1200
13566668,41,四同(x5) + 雙對子(x2),10,410
13566677,41,三同(x3) + 三連順(x2) + 南瓜(x2),12,492
13566678,42,三同(x3) + 四連順(x3),9,378
13566688,43,三同(x3) + 南瓜(x2),6,258
13566777,42,三同(x3) + 三連順(x2) + 南瓜(x2),12,504
13566778,43,對子(x2) + 四連順(x3) + 雙三連順(x6),36,1548
13566788,44,對子(x2) + 四連順(x3) + 雙對子(x2),12,528
13566888,45,三同(x3) + 南瓜(x2),6,270
13567777,43,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1290
13567778,44,三同(x3) + 四連順(x3),9,396
13567788,45,對子(x2) + 四連順(x3) + 雙對子(x2),12,540
13567888,46,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1242
13568888,47,四同(x5) + 雙對子(x2),10,470
13577777,44,五同(x12) + 南瓜(x2) + 絕對秩序(x12),288,12672
13577778,45,四同(x5) + 雙對子(x2),10,450
13577788,46,三同(x3) + 南瓜(x2),6,276
13577888,47,三同(x3) + 南瓜(x2),6,282
13578888,48,四同(x5) + 雙對子(x2),10,480
13588888,49,五同(x12) + 南瓜(x2),24,1176
13666666,40,六同(x25) + 雙三同(x11),275,11000
13666667,41,五同(x12) + 南瓜(x2),24,984
13666668,42,五同(x12) + 南瓜(x2),24,1008
13666677,42,四同(x5) + 三對子(x3),15,630
13666678,43,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1290
13666688,44,四同(x5) + 三對子(x3),15,660
13666777,43,三同(x3) + 雙三同(x11),33,1419
13666778,44,三同(x3) + 三連順(x2) + 南瓜(x2),12,528
13666788,45,三同(x3) + 三連順(x2) + 南瓜(x2),12,540
13666888,46,三同(x3) + 雙三同(x11),33,1518
13667777,44,四同(x5) + 三對子(x3),15,660
13667778,45,三同(x3) + 三連順(x2) + 南瓜(x2),12,540
13667788,46,對子(x2) + 三連順(x2) + 雙三連順(x6),24,1104
13667888,47,三同(x3) + 三連順(x2) + 南瓜(x2),12,564
13668888,48,四同(x5) + 三對子(x3),15,720
13677777,45,五同(x12) + 南瓜(x2),24,1080
13677778,46,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1380
13677788,47,三同(x3) + 三連順(x2) + 南瓜(x2),12,564
13677888,48,三同(x3) + 三連順(x2) + 南瓜(x2),12,576
13678888,49,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1470
13688888,50,五同(x12) + 南瓜(x2),24,1200
13777777,46,六同(x25) + 雙三同(x11) + 絕對秩序(x12),3300,151800
13777778,47,五同(x12) + 南瓜(x2),24,1128
13777788,48,四同(x5) + 三對子(x3),15,720
13777888,49,三同(x3) + 雙三同(x11),33,1617
13778888,50,四同(x5) + 三對子(x3),15,750
13788888,51,五同(x12) + 南瓜(x2),24,1224
13888888,52,六同(x25) + 雙三同(x11),275,14300
14444444,29,七同(x60) + 白馬(x14),840,24360
14444445,30,六同(x25) + 雙三同(x11),275,8250
14444446,31,六同(x25) + 雙三同(x11),275,8525
14444447,32,六同(x25) + 雙三同(x11),275,8800
14444448,33,六同(x25) + 雙三同(x11),275,9075
14444455,31,五同(x12) + 三對子(x3),36,1116
14444456,32,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,2304
14444457,33,五同(x12) + 南瓜(x2),24,792
14444458,34,五同(x12) + 南瓜(x2),24,816
14444466,33,五同(x12) + 三對子(x3),36,1188
14444467,34,五同(x12) + 南瓜(x2),24,816
14444468,35,五同(x12) + 南瓜(x2),24,840
14444477,35,五同(x12) + 三對子(x3),36,1260
14444478,36,五同(x12) + 南瓜(x2),24,864
14444488,37,五同(x12) + 三對子(x3),36,1332
14444555,32,四同(x5) + 白馬(x14),70,2240
14444556,33,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,990
14444557,34,四同(x5) + 三對子(x3),15,510
14444558,35,四同(x5) + 三對子(x3),15,525
14444566,34,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1020
14444567,35,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1575
14444568,36,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1080
14444577,36,四同(x5) + 三對子(x3),15,540
14444578,37,四同(x5) + 雙對子(x2),10,370
14444588,38,四同(x5) + 三對子(x3),15,570
14444666,35,四同(x5) + 白馬(x14),70,2450
14444667,36,四同(x5) + 三對子(x3),15,540
14444668,37,四同(x5) + 三對子(x3),15,555
14444677,37,四同(x5) + 三對子(x3),15,555
14444678,38,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1140
14444688,39,四同(x5) + 三對子(x3),15,585
14444777,38,四同(x5) + 白馬(x14),70,2660
14444778,39,四同(x5) + 三對子(x3),15,585
14444788,40,四同(x5) + 三對子(x3),15,600
14444888,41,四同(x5) + 白馬(x14),70,2870
14445555,33,四同(x5) + 白馬(x14),70,2310
14445556,34,三同(x3) + 三連順(x2) + 雙三同(x11),66,2244
14445557,35,三同(x3) + 雙三同(x11),33,1155
14445558,36,三同(x3) + 雙三同(x11),33,1188
14445566,35,三同(x3) + 三連順(x2) + 雙三連順(x6),36,1260
14445567,36,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,972
14445568,37,三同(x3) + 三連順(x2) + 南瓜(x2),12,444
14445577,37,三同(x3) + 三對子(x3),9,333
14445578,38,三同(x3) + 南瓜(x2),6,228
14445588,39,三同(x3) + 三對子(x3),9,351
14445666,36,三同(x3) + 三連順(x2) + 雙三同(x11),66,2376
14445667,37,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,999
14445668,38,三同(x3) + 三連順(x2) + 南瓜(x2),12,456
14445677,38,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1026
14445678,39,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,1404
14445688,40,三同(x3) + 三連順(x2) + 南瓜(x2),12,480
14445777,39,三同(x3) + 雙三同(x11),33,1287
14445778,40,三同(x3) + 南瓜(x2),6,240
14445788,41,三同(x3) + 南瓜(x2),6,246
14445888,42,三同(x3) + 雙三同(x11),33,1386
14446666,37,四同(x5) + 白馬(x14),70,2590
14446667,38,三同(x3) + 雙三同(x11),33,1254
14446668,39,三同(x3) + 雙三同(x11),33,1287
14446677,39,三同(x3) + 三對子(x3),9,351
14446678,40,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,720
14446688,41,三同(x3) + 三對子(x3),9,369
14446777,40,三同(x3) + 雙三同(x11),33,1320
14446778,41,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,738
14446788,42,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,756
14446888,43,三同(x3) + 雙三同(x11),33,1419
14447777,41,四同(x5) + 白馬(x14),70,2870
14447778,42,三同(x3) + 雙三同(x11),33,1386
14447788,43,三同(x3) + 三對子(x3),9,387
14447888,44,三同(x3) + 雙三同(x11),33,1452
14448888,45,四同(x5) + 白馬(x14),70,3150
14455555,34,五同(x12) + 三對子(x3),36,1224
14455556,35,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1050
14455557,36,四同(x5) + 三對子(x3),15,540
14455558,37,四同(x5) + 三對子(x3),15,555
14455566,36,三同(x3) + 三連順(x2) + 雙三連順(x6),36,1296
14455567,37,三同(x3) + 四連順(x3) + 南瓜(x2),18,666
14455568,38,三同(x3) + 三連順(x2) + 南瓜(x2),12,456
14455577,38,三同(x3) + 三對子(x3),9,342
14455578,39,三同(x3) + 南瓜(x2),6,234
14455588,40,三同(x3) + 三對子(x3),9,360
14455666,37,三同(x3) + 三連順(x2) + 雙三連順(x6),36,1332
14455667,38,對子(x2) + 四連順(x3) + 雙三連順(x6),36,1368
14455668,39,對子(x2) + 三連順(x2) + 雙三連順(x6),24,936
14455677,39,對子(x2) + 四連順(x3) + 三對子(x3),18,702
14455678,40,對子(x2) + 五連順(x4) + 雙對子(x2),16,640
14455688,41,對子(x2) + 三連順(x2) + 三對子(x3),12,492
14455777,40,三同(x3) + 三對子(x3),9,360
14455778,41,對子(x2) + 三對子(x3),6,246
14455788,42,對子(x2) + 三對子(x3),6,252
14455888,43,三同(x3) + 三對子(x3),9,387
14456666,38,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1140
14456667,39,三同(x3) + 四連順(x3) + 南瓜(x2),18,702
14456668,40,三同(x3) + 三連順(x2) + 南瓜(x2),12,480
14456677,40,對子(x2) + 四連順(x3) + 三對子(x3),18,720
14456678,41,對子(x2) + 五連順(x4) + 雙三連順(x6),48,1968
14456688,42,對子(x2) + 三連順(x2) + 三對子(x3),12,504
14456777,41,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1107
14456778,42,對子(x2) + 五連順(x4) + 雙對子(x2),16,672
14456788,43,對子(x2) + 五連順(x4) + 雙對子(x2),16,688
14456888,44,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,792
14457777,42,四同(x5) + 三對子(x3),15,630
14457778,43,三同(x3) + 南瓜(x2),6,258
14457788,44,對子(x2) + 三對子(x3),6,264
14457888,45,三同(x3) + 南瓜(x2),6,270
14458888,46,四同(x5) + 三對子(x3),15,690
14466666,39,五同(x12) + 三對子(x3),36,1404
14466667,40,四同(x5) + 三對子(x3),15,600
14466668,41,四同(x5) + 三對子(x3),15,615
14466677,41,三同(x3) + 三對子(x3),9,369
14466678,42,三同(x3) + 三連順(x2) + 南瓜(x2),12,504
14466688,43,三同(x3) + 三對子(x3),9,387
14466777,42,三同(x3) + 三對子(x3),9,378
14466778,43,對子(x2) + 三連順(x2) + 三對子(x3),12,516
14466788,44,對子(x2) + 三連順(x2) + 三對子(x3),12,528
14466888,45,三同(x3) + 三對子(x3),9,405
14467777,43,四同(x5) + 三對子(x3),15,645
14467778,44,三同(x3) + 三連順(x2) + 南瓜(x2),12,528
14467788,45,對子(x2) + 三連順(x2) + 三對子(x3),12,540
14467888,46,三同(x3) + 三連順(x2) + 南瓜(x2),12,552
14468888,47,四同(x5) + 三對子(x3),15,705
14477777,44,五同(x12) + 三對子(x3),36,1584
14477778,45,四同(x5) + 三對子(x3),15,675
14477788,46,三同(x3) + 三對子(x3),9,414
14477888,47,三同(x3) + 三對子(x3),9,423
14478888,48,四同(x5) + 三對子(x3),15,720
14488888,49,五同(x12) + 三對子(x3),36,1764
14555555,35,六同(x25) + 雙三同(x11),275,9625
14555556,36,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,2592
14555557,37,五同(x12) + 南瓜(x2),24,888
14555558,38,五同(x12) + 南瓜(x2),24,912
14555566,37,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1110
14555567,38,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1710
14555568,39,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1170
14555577,39,四同(x5) + 三對子(x3),15,585
14555578,40,四同(x5) + 雙對子(x2),10,400
14555588,41,四同(x5) + 三對子(x3),15,615
14555666,38,三同(x3) + 三連順(x2) + 雙三同(x11),66,2508
14555667,39,三同(x3) + 四連順(x3) + 雙三連順(x6),54,2106
14555668,40,三同(x3) + 三連順(x2) + 南瓜(x2),12,480
14555677,40,三同(x3) + 四連順(x3) + 南瓜(x2),18,720
14555678,41,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,1476
14555688,42,三同(x3) + 三連順(x2) + 南瓜(x2),12,504
14555777,41,三同(x3) + 雙三同(x11),33,1353
14555778,42,三同(x3) + 南瓜(x2),6,252
14555788,43,三同(x3) + 南瓜(x2),6,258
14555888,44,三同(x3) + 雙三同(x11),33,1452
14556666,39,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1170
14556667,40,三同(x3) + 四連順(x3) + 雙三連順(x6),54,2160
14556668,41,三同(x3) + 三連順(x2) + 南瓜(x2),12,492
14556677,41,對子(x2) + 四連順(x3) + 雙三連順(x6),36,1476
14556678,42,對子(x2) + 五連順(x4) + 雙三連順(x6),48,2016
14556688,43,對子(x2) + 三連順(x2) + 三對子(x3),12,516
14556777,42,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1134
14556778,43,對子(x2) + 五連順(x4) + 雙對子(x2),16,688
14556788,44,對子(x2) + 五連順(x4) + 雙對子(x2),16,704
14556888,45,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,810
14557777,43,四同(x5) + 三對子(x3),15,645
14557778,44,三同(x3) + 南瓜(x2),6,264
14557788,45,對子(x2) + 三對子(x3),6,270
14557888,46,三同(x3) + 南瓜(x2),6,276
14558888,47,四同(x5) + 三對子(x3),15,705
14566666,40,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,2880
14566667,41,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1845
14566668,42,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1260
14566677,42,三同(x3) + 四連順(x3) + 南瓜(x2),18,756
14566678,43,三同(x3) + 五連順(x4) + 雙三連順(x6),72,3096
14566688,44,三同(x3) + 三連順(x2) + 南瓜(x2),12,528
14566777,43,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1161
14566778,44,對子(x2) + 五連順(x4) + 雙三連順(x6),48,2112
14566788,45,對子(x2) + 五連順(x4) + 雙三連順(x6),48,2160
14566888,46,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,828
14567777,44,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1980
14567778,45,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,1620
14567788,46,對子(x2) + 五連順(x4) + 雙對子(x2),16,736
14567888,47,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,1692
14568888,48,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1440
14577777,45,五同(x12) + 南瓜(x2),24,1080
14577778,46,四同(x5) + 雙對子(x2),10,460
14577788,47,三同(x3) + 南瓜(x2),6,282
14577888,48,三同(x3) + 南瓜(x2),6,288
14578888,49,四同(x5) + 雙對子(x2),10,490
14588888,50,五同(x12) + 南瓜(x2),24,1200
14666666,41,六同(x25) + 雙三同(x11),275,11275
14666667,42,五同(x12) + 南瓜(x2),24,1008
14666668,43,五同(x12) + 南瓜(x2),24,1032
14666677,43,四同(x5) + 三對子(x3),15,645
14666678,44,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1320
14666688,45,四同(x5) + 三對子(x3),15,675
14666777,44,三同(x3) + 雙三同(x11),33,1452
14666778,45,三同(x3) + 三連順(x2) + 南瓜(x2),12,540
14666788,46,三同(x3) + 三連順(x2) + 南瓜(x2),12,552
14666888,47,三同(x3) + 雙三同(x11),33,1551
14667777,45,四同(x5) + 三對子(x3),15,675
14667778,46,三同(x3) + 三連順(x2) + 南瓜(x2),12,552
14667788,47,對子(x2) + 三連順(x2) + 雙三連順(x6),24,1128
14667888,48,三同(x3) + 三連順(x2) + 南瓜(x2),12,576
14668888,49,四同(x5) + 三對子(x3),15,735
14677777,46,五同(x12) + 南瓜(x2),24,1104
14677778,47,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1410
14677788,48,三同(x3) + 三連順(x2) + 南瓜(x2),12,576
14677888,49,三同(x3) + 三連順(x2) + 南瓜(x2),12,588
14678888,50,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1500
14688888,51,五同(x12) + 南瓜(x2),24,1224
14777777,47,六同(x25) + 雙三同(x11),275,12925
14777778,48,五同(x12) + 南瓜(x2),24,1152
14777788,49,四同(x5) + 三對子(x3),15,735
14777888,50,三同(x3) + 雙三同(x11),33,1650
14778888,51,四同(x5) + 三對子(x3),15,765
14788888,52,五同(x12) + 南瓜(x2),24,1248
14888888,53,六同(x25) + 雙三同(x11),275,14575
15555555,36,七同(x60) + 白馬(x14) + 絕對秩序(x12),10080,362880
15555556,37,六同(x25) + 雙三同(x11),275,10175
15555557,38,六同(x25) + 雙三同(x11) + 絕對秩序(x12),3300,125400
15555558,39,六同(x25) + 雙三同(x11),275,10725
15555566,38,五同(x12) + 三對子(x3),36,1368
15555567,39,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,2808
15555568,40,五同(x12) + 南瓜(x2),24,960
15555577,40,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,17280
15555578,41,五同(x12) + 南瓜(x2),24,984
15555588,42,五同(x12) + 三對子(x3),36,1512
15555666,39,四同(x5) + 白馬(x14),70,2730
15555667,40,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1200
